,Sample,<qLKSiki>,<Rc3kmmq>,<qLKSiki> + CoT,<Rc3kmmq> + CoT,<qLKSiki> MAD R1 S3,<qLKSiki> MAD R1 S5,<qLKSiki> MAD R1 S7,<qLKSiki> MAD R2 S3,<qLKSiki> MAD R2 S5,<qLKSiki> MAD R2 S7,<qLKSiki> MAD R3 S3,<qLKSiki> MAD R3 S5,<qLKSiki> MAD R3 S7,<Rc3kmmq> MAD R1 S3,<Rc3kmmq> MAD R1 S5,<Rc3kmmq> MAD R1 S7,<Rc3kmmq> MAD R2 S3,<Rc3kmmq> MAD R2 S5,<Rc3kmmq> MAD R2 S7,<Rc3kmmq> MAD R3 S3,<Rc3kmmq> MAD R3 S5,<Rc3kmmq> MAD R3 S7,Mixed-A MAD R3 S7,Mixed-B MAD R3 S7,<qLKSiki> MoA W3 L3,<qLKSiki> MoA W3 L4,<qLKSiki> MoA W3 L5,<qLKSiki> MoA W4 L3,<qLKSiki> MoA W4 L4,<qLKSiki> MoA W4 L5,<qLKSiki> MoA W5 L3,<qLKSiki> MoA W5 L4,<qLKSiki> MoA W5 L5,<Rc3kmmq> MoA W3 L3,<Rc3kmmq> MoA W3 L4,<Rc3kmmq> MoA W3 L5,<Rc3kmmq> MoA W4 L3,<Rc3kmmq> MoA W4 L4,<Rc3kmmq> MoA W4 L5,<Rc3kmmq> MoA W5 L3,<Rc3kmmq> MoA W5 L4,<Rc3kmmq> MoA W5 L5,Mixed MoA W5 L5,<qLKSiki> Reflection T1,<qLKSiki> Reflection T2,<qLKSiki> Reflection T3,<qLKSiki> Reflection T4,<qLKSiki> Reflection T5,<Rc3kmmq> Reflection T1,<Rc3kmmq> Reflection T2,<Rc3kmmq> Reflection T3,<Rc3kmmq> Reflection T4,<Rc3kmmq> Reflection T5,Mixed-A Reflection T5,Mixed-B Reflection T5
32,33,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False
33,34,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,cannot decide,True,True,True,True,True,True,True,True,True,True,False,True,True,False,False,False,False,False,False,True,True,True,True,False,True,True,True,False,False,True,False,True
34,35,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False
35,36,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,True,False,False,False,True,True,False,False,cannot decide,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,True,True,False,True,False,False,False
36,37,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
37,38,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
38,39,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,True,False,True,True,True,False,True,True,True,True,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False
39,40,True,False,True,True,True,True,True,True,True,True,True,True,True,cannot decide,True,False,False,False,True,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,True,False,False,False,True,True,True,True,True,True,False,False,False,True,False,True,True
40,41,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
41,42,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False
42,43,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
43,44,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44,45,True,False,True,True,False,False,False,False,False,False,False,False,False,False,cannot decide,cannot decide,cannot decide,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
45,46,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True,True
46,47,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,48,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True
48,49,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
49,50,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False
50,51,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False
51,52,False,False,False,False,True,True,True,True,True,True,True,True,False,True,cannot decide,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,True,True,True,False,True,True,True,False,True,True,False
52,53,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,True,False
53,54,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False
54,55,False,False,False,False,False,False,True,True,False,True,False,False,True,cannot decide,cannot decide,True,True,True,True,True,True,True,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,True,True,False,False
55,56,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
56,57,False,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
57,58,True,False,True,False,False,False,True,True,True,False,True,False,False,False,cannot decide,False,False,cannot decide,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
58,59,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True
60,61,False,False,False,True,True,False,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
61,62,False,False,False,True,True,True,True,True,True,True,False,True,True,False,True,True,False,True,True,False,False,True,True,True,False,True,True,True,True,True,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,True,True,True,True,True,True,True,False
62,63,False,False,False,True,True,False,False,False,False,False,False,True,False,cannot decide,True,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,False,False,True,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False
63,64,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
64,65,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
65,66,False,False,False,True,cannot decide,False,False,False,False,False,False,False,False,True,cannot decide,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,True,False,True,False,False,False
66,67,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
67,68,True,False,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
68,69,True,False,False,False,True,True,True,True,True,True,False,True,True,cannot decide,False,False,True,False,False,False,False,False,cannot decide,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,cannot decide,False,True,True,True,True,True,False,True,False,False,False,False,True
69,70,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True
70,71,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
71,72,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,73,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73,74,False,False,True,True,False,True,True,True,False,False,False,True,True,False,cannot decide,False,True,False,True,True,False,False,cannot decide,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,True,True,True,False,False,False,True,True,True,False,True,False,False,False,True,True,False
74,75,False,False,False,True,False,False,True,True,True,False,True,True,True,True,True,True,False,True,cannot decide,True,True,False,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,False,True,True,True,True,True,True,True,False,True,False,False,True,False,False,True,False,True
75,76,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
76,77,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
77,78,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
78,79,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,True,False,False,False
79,80,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,True,False,True,True,True
80,81,True,False,False,False,True,True,True,False,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False,True,False,True,True,False
81,82,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,False,False
82,83,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,True,True,True,True,False,False,False,True,False,False,True,True,False,False,True,True,True,True,True,True,True,True,False,True,True,True,True
83,84,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,cannot decide,cannot decide,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
84,85,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,True,True,True,False,True,cannot decide,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,True,True,True,False,False,False
85,86,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
86,87,True,False,False,False,True,True,True,True,True,True,True,True,True,True,False,False,True,True,True,False,False,True,False,False,True,True,False,False,True,False,True,True,True,False,True,False,True,False,False,True,False,False,False,True,True,False,True,True,True,True,True,False,False,False,False
87,88,False,True,False,True,True,False,False,False,False,False,False,True,True,False,cannot decide,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,False,True,True,False,True,False,False,True,False,True,True,True,True,True,False,True
88,89,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
89,90,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
90,91,True,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True
91,92,False,True,False,False,True,True,True,False,True,True,False,True,True,True,True,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,True,True,True,True,False
92,93,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,True,False
93,94,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True
94,95,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
95,96,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,False,False,True,False,True,False,False,False,True,True,True,True,True,False,False,False,True,True,True,True,True,True,True,True,False,True,False,True,True
96,97,False,False,False,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,True,True,True,True,True,False,True,True,False,True,True,True,True,True,False,False,True,False,True
97,98,False,False,False,True,False,False,False,False,False,False,True,False,False,cannot decide,True,True,False,True,cannot decide,True,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,True,True,True,True,True,False,False,False,True,False,True,True,True,False,False,True,False,False
98,99,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,cannot decide,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
99,100,False,False,False,False,False,True,True,True,False,True,False,True,True,True,True,True,True,True,True,False,True,True,cannot decide,True,True,False,True,False,False,True,False,True,False,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True,True,False,True,False,True
